keyID,perceive_high_stigma,would_not_let_mentor_students,sign_of_failure,think_less_of,weak_character,due_to_stress,threat_to_students,acceptibility,phd_year,age,gender,ethnicity,politics,tenure,income
1,2,2,2,3,2,3,3,3,1988,57,2,1,6,3,4
2,2,3,2,4,1,3,3,2,2011,47,1,1,7,1,3
3,3,2,2,3,2,3,2,2,2012,34,2,1,6,1,4
4,2,3,4,4,3,3,4,2,2001,45,1,1,2,2,6
5,2,2,2,2,2,3,3,1,1994,52,2,1,7,4,2
6,2,3,2,3,4,3,2,3,1960,85,2,1,7,3,4
7,2,4,3,4,2,2,4,2,2007,40,2,1,6,2,3
8,3,4,2,3,4,4,3,2,1989,55,2,1,7,2,3
9,2,2,2,4,2,3,3,2,2013,32,1,1,7,1,4
10,2,2,2,3,3,2,3,3,1982,61,1,1,9,3,3
11,2,2,1,1,1,1,1,1,1967,76,2,1,6,3,6
12,2,2,2,3,2,4,3,3,2005,41,1,1,7,2,3
13,2,3,2,2,2,4,3,2,1991,62,2,1,7,2,2
14,2,3,3,3,2,4,3,2,2006,43,1,1,7,2,4
15,3,3,3,3,2,3,3,3,2000,48,1,1,6,2,4
16,4,4,4,4,3,3,4,2,1990,55,2,1,7,3,4
17,3,3,2,3,2,2,2,2,1991,56,4,7,7,3,5
18,2,2,3,3,2,2,3,3,1982,64,1,1,9,3,5
19,2,3,3,3,2,2,3,2,1983,70,1,1,7,3,6
20,3,3,3,3,3,3,3,2,1994,54,2,1,6,2,3
21,3,3,3,3,2,2,3,2,2013,34,2,1,8,1,2
22,3,4,3,4,2,2,3,2,2007,36,1,1,7,2,3
23,2,3,2,2,2,3,3,3,2002,45,2,2,10,2,3
24,2,3,3,3,2,3,3,2,1997,49,2,1,6,3,3
25,3,3,2,3,2,3,3,2,2016,29,1,1,6,1,3
26,2,4,3,3,3,3,4,2,1985,63,2,1,4,3,4
27,4,4,2,4,4,2,4,2,1978,66,4,1,6,4,5
28,4,4,4,4,2,3,2,2,1981,63,1,1,7,3,4
29,2,3,3,4,1,3,4,2,1988,65,1,1,7,3,4
30,4,4,4,4,2,3,3,2,1995,48,1,1,6,3,4
31,2,4,4,4,2,3,4,2,2005,44,1,1,7,2,3
32,2,3,3,3,3,4,4,2,1986,64,2,1,7,3,3
33,3,2,3,3,3,3,3,2,2010,41,2,1,7,2,6
34,2,2,2,2,3,2,4,2,1987,61,1,1,7,3,4
35,2,3,3,3,2,3,3,2,2000,45,1,1,7,2,4
36,2,3,2,3,2,2,2,2,1988,58,2,1,7,2,3
37,2,2,2,2,2,2,2,2,1991,54,2,1,6,3,4
38,2,3,3,3,2,2,3,2,2011,37,2,1,7,1,4
39,2,2,2,1,2,4,4,2,2015,30,2,1,6,1,3
40,2,2,2,3,2,3,2,3,2012,34,2,1,7,1,5
41,2,3,2,3,2,3,4,2,2007,42,1,1,6,2,4
42,2,3,3,4,3,3,3,2,1996,54,1,1,7,3,4
43,4,4,3,4,2,4,3,2,2016,31,1,1,7,1,3
44,3,2,2,2,2,2,2,3,1999,67,1,1,7,2,3
45,2,3,3,3,3,3,4,2,1986,58,2,1,6,2,4
46,3,3,4,4,2,2,3,2,1999,49,2,1,7,3,4
47,3,2,2,3,2,3,2,2,1978,66,1,1,7,3,5
48,1,2,2,3,1,2,2,2,1989,57,1,1,7,3,4
49,3,3,3,3,2,3,3,2,1979,68,2,1,6,3,4
50,3,2,2,3,2,3,2,2,2001,65,2,1,6,4,2
51,4,2,3,4,2,3,2,2,2008,37,1,1,6,2,3
52,3,3,3,4,2,4,4,2,2004,41,1,1,7,2,4
53,2,2,2,3,2,2,2,3,1972,75,2,1,7,4,4
54,2,2,2,3,2,2,2,3,1989,60,1,1,7,2,3
55,3,3,3,3,2,3,3,2,2004,51,2,1,6,2,4
56,2,3,3,3,2,3,3,2,2006,39,1,1,7,1,3
57,2,3,3,3,3,4,3,2,1996,51,2,1,6,3,5
58,2,2,2,2,2,2,2,2,2004,44,2,3,7,1,4
59,2,2,2,2,2,2,3,2,1971,75,1,1,7,3,5
60,3,3,2,3,1,4,2,2,2005,39,1,1,9,1,4
61,2,2,2,3,2,3,3,2,1996,49,2,1,7,2,3
62,2,3,2,2,1,1,1,3,2011,35,1,1,6,1,4
63,2,3,3,3,2,3,3,2,1994,54,2,1,2,2,5
64,2,3,2,2,2,3,3,2,1966,77,2,1,6,3,6
65,4,2,2,4,3,3,4,2,2015,28,1,1,7,1,2
66,3,2,3,3,2,3,2,2,2001,43,1,3,6,3,5
67,3,2,3,3,3,4,3,1,2011,32,1,1,7,1,6
68,3,3,3,3,3,3,3,2,1998,50,2,1,6,2,4
69,3,2,3,3,2,2,3,2,2013,41,1,1,7,1,3
70,1,1,3,3,2,3,3,2,2000,48,2,1,7,2,4
71,2,2,2,3,3,3,3,2,1999,45,1,1,6,1,2
72,3,3,3,3,2,3,3,2,2014,37,2,1,7,1,4
73,2,4,4,3,2,2,4,2,2001,46,1,1,7,3,4
74,3,3,3,3,3,2,3,2,2017,46,1,1,6,4,2
75,2,2,2,2,2,3,2,3,2008,42,1,1,7,1,3
76,3,3,2,3,3,3,3,2,2014,33,2,1,6,1,4
77,3,4,4,4,2,3,4,2,1997,47,1,1,7,3,6
78,3,2,2,2,2,3,3,2,2008,45,2,1,7,2,4
79,2,2,2,2,2,1,2,1,1972,74,2,1,2,3,4
80,2,1,2,2,1,3,2,2,2001,44,1,1,7,2,3
81,1,2,2,2,2,3,3,2,1997,49,1,1,7,2,4
82,2,2,2,3,2,2,3,2,1999,45,1,1,7,2,4
83,2,3,3,3,2,2,3,2,1991,57,2,1,6,3,6
84,1,1,1,3,3,3,4,1,1993,60,1,2,4,2,3
85,2,3,2,3,1,3,3,2,2003,43,2,1,7,2,4
86,2,2,1,1,1,2,1,1,1976,68,2,1,7,3,2
87,2,2,2,3,2,3,3,3,1987,66,1,3,7,2,3
88,3,2,2,2,2,3,2,3,1980,65,1,1,7,3,4
89,3,2,2,2,3,3,3,3,1977,65,1,1,7,3,4
90,1,3,2,3,2,3,3,2,2006,50,1,1,4,3,4
91,2,3,2,3,3,3,2,2,2011,33,1,1,7,1,3
92,1,2,2,2,2,3,1,1,2001,44,4,7,9,3,5
93,2,3,3,3,1,3,2,2,2011,32,1,1,7,1,3
94,2,3,2,3,2,3,3,2,1974,68,2,1,7,3,4
95,4,3,3,3,3,2,2,2,1989,59,1,1,4,3,5
96,2,3,3,3,2,2,3,2,1990,54,1,1,7,3,4
97,1,2,1,3,1,3,2,3,1983,61,2,1,7,3,4
98,2,2,2,2,2,3,2,2,2008,42,2,1,6,1,3
